success,failure,stuck,success_percent,failure_percent,stuck_percent
1,0,0,1.0,0.0,0.0
1,0,1,0.5,0.0,0.5
2,0,1,0.6667,0.0,0.3333
2,0,2,0.5,0.0,0.5
2,0,3,0.4,0.0,0.6
3,0,3,0.5,0.0,0.5
3,0,4,0.4286,0.0,0.5714
3,1,4,0.375,0.125,0.5
3,1,5,0.3333,0.1111,0.5556
3,1,6,0.3,0.1,0.6
4,1,6,0.3636,0.0909,0.5455
4,2,6,0.3333,0.1667,0.5
4,3,6,0.3077,0.2308,0.4615
4,3,7,0.2857,0.2143,0.5
4,4,7,0.2667,0.2667,0.4667
5,4,7,0.3125,0.25,0.4375
5,4,8,0.2941,0.2353,0.4706
5,4,9,0.2778,0.2222,0.5
5,4,10,0.2632,0.2105,0.5263
5,5,10,0.25,0.25,0.5
5,5,11,0.2381,0.2381,0.5238
5,5,12,0.2273,0.2273,0.5455
6,5,12,0.2609,0.2174,0.5217
6,5,13,0.25,0.2083,0.5417
6,6,13,0.24,0.24,0.52
6,7,13,0.2308,0.2692,0.5
6,7,14,0.2222,0.2593,0.5185
6,7,15,0.2143,0.25,0.5357
7,7,15,0.2414,0.2414,0.5172
7,7,16,0.2333,0.2333,0.5333
8,7,16,0.2581,0.2258,0.5161
9,7,16,0.2812,0.2188,0.5
9,7,17,0.2727,0.2121,0.5152
9,8,17,0.2647,0.2353,0.5
10,8,17,0.2857,0.2286,0.4857
10,8,18,0.2778,0.2222,0.5
10,8,19,0.2703,0.2162,0.5135
10,9,19,0.2632,0.2368,0.5
11,9,19,0.2821,0.2308,0.4872
12,9,19,0.3,0.225,0.475
12,9,20,0.2927,0.2195,0.4878
12,10,20,0.2857,0.2381,0.4762
12,10,21,0.2791,0.2326,0.4884
12,10,22,0.2727,0.2273,0.5
12,10,23,0.2667,0.2222,0.5111
12,10,24,0.2609,0.2174,0.5217
12,10,25,0.2553,0.2128,0.5319
12,10,26,0.25,0.2083,0.5417
13,10,26,0.2653,0.2041,0.5306
13,10,27,0.26,0.2,0.54
14,10,27,0.2745,0.1961,0.5294
14,10,28,0.2692,0.1923,0.5385
15,10,28,0.283,0.1887,0.5283
16,10,28,0.2963,0.1852,0.5185
16,10,29,0.2909,0.1818,0.5273
16,10,30,0.2857,0.1786,0.5357
16,10,31,0.2807,0.1754,0.5439
16,10,32,0.2759,0.1724,0.5517
16,11,32,0.2712,0.1864,0.5424
16,11,33,0.2667,0.1833,0.55
16,11,34,0.2623,0.1803,0.5574
16,11,35,0.2581,0.1774,0.5645
17,11,35,0.2698,0.1746,0.5556
17,12,35,0.2656,0.1875,0.5469
17,13,35,0.2615,0.2,0.5385
17,14,35,0.2576,0.2121,0.5303
17,14,36,0.2537,0.209,0.5373
17,14,37,0.25,0.2059,0.5441
17,14,38,0.2464,0.2029,0.5507
17,15,38,0.2429,0.2143,0.5429
17,15,39,0.2394,0.2113,0.5493
17,16,39,0.2361,0.2222,0.5417
18,16,39,0.2466,0.2192,0.5342
18,17,39,0.2432,0.2297,0.527
18,17,40,0.24,0.2267,0.5333
18,17,41,0.2368,0.2237,0.5395
18,17,42,0.2338,0.2208,0.5455
18,17,43,0.2308,0.2179,0.5513
18,18,43,0.2278,0.2278,0.5443
19,18,43,0.2375,0.225,0.5375
19,18,44,0.2346,0.2222,0.5432
20,18,44,0.2439,0.2195,0.5366
20,18,45,0.241,0.2169,0.5422
20,18,46,0.2381,0.2143,0.5476
21,18,46,0.2471,0.2118,0.5412
21,19,46,0.2442,0.2209,0.5349
22,19,46,0.2529,0.2184,0.5287
22,19,47,0.25,0.2159,0.5341
22,19,48,0.2472,0.2135,0.5393
23,19,48,0.2556,0.2111,0.5333
23,19,49,0.2527,0.2088,0.5385
23,19,50,0.25,0.2065,0.5435
24,19,50,0.2581,0.2043,0.5376
24,19,51,0.2553,0.2021,0.5426
24,20,51,0.2526,0.2105,0.5368
24,21,51,0.25,0.2188,0.5312
24,21,52,0.2474,0.2165,0.5361
25,21,52,0.2551,0.2143,0.5306
25,21,53,0.2525,0.2121,0.5354
25,21,54,0.25,0.21,0.54
25,21,55,0.2475,0.2079,0.5446
25,21,56,0.2451,0.2059,0.549
25,22,56,0.2427,0.2136,0.5437
26,22,56,0.25,0.2115,0.5385
26,22,57,0.2476,0.2095,0.5429
27,22,57,0.2547,0.2075,0.5377
27,23,57,0.2523,0.215,0.5327
27,24,57,0.25,0.2222,0.5278
28,24,57,0.2569,0.2202,0.5229
28,24,58,0.2545,0.2182,0.5273
28,25,58,0.2523,0.2252,0.5225
28,25,59,0.25,0.2232,0.5268
28,25,60,0.2478,0.2212,0.531
28,25,61,0.2456,0.2193,0.5351
28,25,62,0.2435,0.2174,0.5391
28,25,63,0.2414,0.2155,0.5431
28,26,63,0.2393,0.2222,0.5385
28,26,64,0.2373,0.2203,0.5424
29,26,64,0.2437,0.2185,0.5378
30,26,64,0.25,0.2167,0.5333
31,26,64,0.2562,0.2149,0.5289
32,26,64,0.2623,0.2131,0.5246
32,26,65,0.2602,0.2114,0.5285
32,27,65,0.2581,0.2177,0.5242
32,28,65,0.256,0.224,0.52
32,29,65,0.254,0.2302,0.5159
32,29,66,0.252,0.2283,0.5197
32,29,67,0.25,0.2266,0.5234
33,29,67,0.2558,0.2248,0.5194
33,29,68,0.2538,0.2231,0.5231
33,29,69,0.2519,0.2214,0.5267
33,29,70,0.25,0.2197,0.5303
33,29,71,0.2481,0.218,0.5338
33,29,72,0.2463,0.2164,0.5373
33,29,73,0.2444,0.2148,0.5407
33,30,73,0.2426,0.2206,0.5368
33,30,74,0.2409,0.219,0.5401
33,30,75,0.2391,0.2174,0.5435
33,30,76,0.2374,0.2158,0.5468
34,30,76,0.2429,0.2143,0.5429
35,30,76,0.2482,0.2128,0.539
35,30,77,0.2465,0.2113,0.5423
35,30,78,0.2448,0.2098,0.5455
35,30,79,0.2431,0.2083,0.5486
35,30,80,0.2414,0.2069,0.5517
35,30,81,0.2397,0.2055,0.5548
36,30,81,0.2449,0.2041,0.551
37,30,81,0.25,0.2027,0.5473
38,30,81,0.255,0.2013,0.5436
38,30,82,0.2533,0.2,0.5467
38,31,82,0.2517,0.2053,0.543
38,31,83,0.25,0.2039,0.5461
38,32,83,0.2484,0.2092,0.5425
38,32,84,0.2468,0.2078,0.5455
38,32,85,0.2452,0.2065,0.5484
38,32,86,0.2436,0.2051,0.5513
38,32,87,0.242,0.2038,0.5541
38,32,88,0.2405,0.2025,0.557
