success,failure,stuck,success_percent,failure_percent,stuck_percent
0,1,0,0.0,1.0,0.0
0,1,1,0.0,0.5,0.5
1,1,1,0.3333,0.3333,0.3333
2,1,1,0.5,0.25,0.25
3,1,1,0.6,0.2,0.2
3,1,2,0.5,0.1667,0.3333
4,1,2,0.5714,0.1429,0.2857
4,2,2,0.5,0.25,0.25
4,2,3,0.4444,0.2222,0.3333
5,2,3,0.5,0.2,0.3
5,2,4,0.4545,0.1818,0.3636
5,3,4,0.4167,0.25,0.3333
5,3,5,0.3846,0.2308,0.3846
5,3,6,0.3571,0.2143,0.4286
6,3,6,0.4,0.2,0.4
6,4,6,0.375,0.25,0.375
6,5,6,0.3529,0.2941,0.3529
6,6,6,0.3333,0.3333,0.3333
6,6,7,0.3158,0.3158,0.3684
6,7,7,0.3,0.35,0.35
7,7,7,0.3333,0.3333,0.3333
7,7,8,0.3182,0.3182,0.3636
7,7,9,0.3043,0.3043,0.3913
7,7,10,0.2917,0.2917,0.4167
8,7,10,0.32,0.28,0.4
8,7,11,0.3077,0.2692,0.4231
8,8,11,0.2963,0.2963,0.4074
8,9,11,0.2857,0.3214,0.3929
9,9,11,0.3103,0.3103,0.3793
9,9,12,0.3,0.3,0.4
10,9,12,0.3226,0.2903,0.3871
10,9,13,0.3125,0.2812,0.4062
10,9,14,0.303,0.2727,0.4242
10,10,14,0.2941,0.2941,0.4118
10,11,14,0.2857,0.3143,0.4
10,11,15,0.2778,0.3056,0.4167
11,11,15,0.2973,0.2973,0.4054
12,11,15,0.3158,0.2895,0.3947
12,11,16,0.3077,0.2821,0.4103
12,11,17,0.3,0.275,0.425
12,11,18,0.2927,0.2683,0.439
13,11,18,0.3095,0.2619,0.4286
13,12,18,0.3023,0.2791,0.4186
13,13,18,0.2955,0.2955,0.4091
14,13,18,0.3111,0.2889,0.4
14,14,18,0.3043,0.3043,0.3913
14,14,19,0.2979,0.2979,0.4043
15,14,19,0.3125,0.2917,0.3958
15,15,19,0.3061,0.3061,0.3878
15,15,20,0.3,0.3,0.4
15,15,21,0.2941,0.2941,0.4118
15,16,21,0.2885,0.3077,0.4038
15,17,21,0.283,0.3208,0.3962
16,17,21,0.2963,0.3148,0.3889
16,17,22,0.2909,0.3091,0.4
17,17,22,0.3036,0.3036,0.3929
18,17,22,0.3158,0.2982,0.386
18,17,23,0.3103,0.2931,0.3966
19,17,23,0.322,0.2881,0.3898
19,18,23,0.3167,0.3,0.3833
19,18,24,0.3115,0.2951,0.3934
20,18,24,0.3226,0.2903,0.3871
20,18,25,0.3175,0.2857,0.3968
20,19,25,0.3125,0.2969,0.3906
20,20,25,0.3077,0.3077,0.3846
20,20,26,0.303,0.303,0.3939
20,20,27,0.2985,0.2985,0.403
20,20,28,0.2941,0.2941,0.4118
21,20,28,0.3043,0.2899,0.4058
21,20,29,0.3,0.2857,0.4143
21,20,30,0.2958,0.2817,0.4225
21,20,31,0.2917,0.2778,0.4306
22,20,31,0.3014,0.274,0.4247
22,21,31,0.2973,0.2838,0.4189
22,21,32,0.2933,0.28,0.4267
22,21,33,0.2895,0.2763,0.4342
22,21,34,0.2857,0.2727,0.4416
22,21,35,0.2821,0.2692,0.4487
22,21,36,0.2785,0.2658,0.4557
22,21,37,0.275,0.2625,0.4625
23,21,37,0.284,0.2593,0.4568
23,22,37,0.2805,0.2683,0.4512
23,22,38,0.2771,0.2651,0.4578
23,22,39,0.2738,0.2619,0.4643
24,22,39,0.2824,0.2588,0.4588
24,22,40,0.2791,0.2558,0.4651
25,22,40,0.2874,0.2529,0.4598
26,22,40,0.2955,0.25,0.4545
26,23,40,0.2921,0.2584,0.4494
26,23,41,0.2889,0.2556,0.4556
26,23,42,0.2857,0.2527,0.4615
26,23,43,0.2826,0.25,0.4674
26,23,44,0.2796,0.2473,0.4731
26,24,44,0.2766,0.2553,0.4681
27,24,44,0.2842,0.2526,0.4632
27,25,44,0.2812,0.2604,0.4583
27,25,45,0.2784,0.2577,0.4639
27,25,46,0.2755,0.2551,0.4694
27,25,47,0.2727,0.2525,0.4747
28,25,47,0.28,0.25,0.47
29,25,47,0.2871,0.2475,0.4653
29,25,48,0.2843,0.2451,0.4706
29,25,49,0.2816,0.2427,0.4757
29,26,49,0.2788,0.25,0.4712
29,26,50,0.2762,0.2476,0.4762
29,26,51,0.2736,0.2453,0.4811
29,26,52,0.271,0.243,0.486
30,26,52,0.2778,0.2407,0.4815
30,26,53,0.2752,0.2385,0.4862
30,26,54,0.2727,0.2364,0.4909
30,26,55,0.2703,0.2342,0.4955
30,26,56,0.2679,0.2321,0.5
31,26,56,0.2743,0.2301,0.4956
31,27,56,0.2719,0.2368,0.4912
31,27,57,0.2696,0.2348,0.4957
32,27,57,0.2759,0.2328,0.4914
33,27,57,0.2821,0.2308,0.4872
33,28,57,0.2797,0.2373,0.4831
33,28,58,0.2773,0.2353,0.4874
33,29,58,0.275,0.2417,0.4833
33,29,59,0.2727,0.2397,0.4876
34,29,59,0.2787,0.2377,0.4836
35,29,59,0.2846,0.2358,0.4797
35,29,60,0.2823,0.2339,0.4839
35,29,61,0.28,0.232,0.488
35,29,62,0.2778,0.2302,0.4921
35,30,62,0.2756,0.2362,0.4882
35,30,63,0.2734,0.2344,0.4922
35,31,63,0.2713,0.2403,0.4884
36,31,63,0.2769,0.2385,0.4846
36,31,64,0.2748,0.2366,0.4885
36,31,65,0.2727,0.2348,0.4924
37,31,65,0.2782,0.2331,0.4887
